iter	Passed	Remaining
690	880	393
691	881	392
692	882	390
693	883	389
694	884	388
695	885	386
696	886	385
697	888	384
698	889	382
699	890	381
700	891	380
701	892	378
702	893	377
703	894	376
704	895	374
705	896	373
706	898	372
707	899	370
708	900	369
709	901	368
710	902	366
711	903	365
712	904	364
713	905	362
714	906	361
715	907	360
716	909	358
717	910	357
718	912	356
719	913	355
720	914	353
721	915	352
722	916	351
723	917	349
724	918	348
725	919	346
726	920	345
727	921	344
728	922	342
729	923	341
730	924	340
731	926	339
732	927	337
733	928	336
734	929	335
735	930	333
736	931	332
737	932	331
738	933	329
739	934	328
740	936	327
741	937	325
742	938	324
743	939	323
744	940	322
745	942	320
746	943	319
747	944	318
748	946	317
749	947	315
750	948	314
751	949	313
752	950	311
753	951	310
754	952	309
755	953	307
756	955	306
757	956	305
758	957	304
759	959	302
760	960	301
761	961	300
762	962	298
763	963	297
764	964	296
765	965	294
766	966	293
767	968	292
768	969	291
769	970	289
770	971	288
771	972	287
772	973	286
773	975	284
774	976	283
775	977	282
776	978	280
777	979	279
778	980	278
779	981	276
780	983	275
781	984	274
782	985	273
783	986	271
784	987	270
785	988	269
786	989	267
787	990	266
788	991	265
789	992	263
790	994	262
791	995	261
792	997	260
793	998	259
794	999	257
795	1000	256
796	1001	255
797	1003	253
798	1004	252
799	1005	251
800	1006	250
801	1007	248
802	1008	247
803	1010	246
804	1011	244
805	1012	243
806	1013	242
807	1014	241
808	1015	239
809	1017	238
810	1018	237
811	1019	236
812	1020	234
813	1021	233
814	1022	232
815	1024	230
816	1025	229
817	1026	228
818	1027	227
819	1028	225
820	1029	224
821	1031	223
822	1032	221
823	1033	220
824	1034	219
825	1035	218
826	1036	216
827	1037	215
828	1038	214
829	1039	212
830	1041	211
831	1042	210
832	1043	209
833	1045	208
834	1046	206
835	1047	205
836	1048	204
837	1049	202
838	1050	201
839	1051	200
840	1053	199
841	1054	197
842	1055	196
843	1056	195
844	1057	194
845	1058	192
846	1060	191
847	1061	190
848	1062	188
849	1063	187
850	1064	186
851	1065	185
852	1066	183
853	1067	182
854	1069	181
855	1070	180
856	1071	178
857	1072	177
858	1073	176
859	1074	174
860	1075	173
861	1076	172
862	1077	171
863	1078	169
864	1079	168
865	1080	167
866	1081	165
867	1083	164
868	1084	163
869	1085	162
870	1086	160
871	1087	159
872	1088	158
873	1089	157
874	1090	155
875	1091	154
876	1092	153
877	1094	152
878	1095	150
879	1096	149
880	1098	148
881	1099	147
882	1100	145
883	1101	144
884	1102	143
885	1103	141
886	1104	140
887	1105	139
888	1106	138
889	1107	136
890	1108	135
891	1110	134
892	1111	133
893	1112	131
894	1113	130
895	1114	129
896	1116	128
897	1117	126
898	1118	125
899	1119	124
900	1120	123
901	1121	121
902	1122	120
903	1123	119
904	1125	118
905	1126	116
906	1127	115
